catalogNumber,scientificName
CASTYPE14672,Perdita primula
CASTYPE14673,Perdita propinqua
CASTYPE14674,Perdita pulchella
CASTYPE14675,Perdita pulliventris
CASTYPE14676,Perdita puncticeps
CASTYPE14678,Perdita pusilla
CASTYPE14679,Perdita pygidialis
CASTYPE14681,Perdita quinquebalteata
CASTYPE14682,Perdita repens
CASTYPE14683,Perdita reperta
CASTYPE14684,Perdita replicans
CASTYPE14685,Perdita retusa
CASTYPE14686,Perdita rhodogastra
CASTYPE14687,Perdita robertsi
CASTYPE14688,Perdita rozeni
CASTYPE14689,Perdita rudei
CASTYPE14690,Perdita rufescens
CASTYPE14691,Perdita ruficauda
CASTYPE14692,Perdita salicis
CASTYPE14693,Perdita salviae
CASTYPE14694,Perdita sandhouseae
CASTYPE14695,Perdita schlingeri
CASTYPE14696,Perdita scitula
CASTYPE14697,Perdita scitula
CASTYPE14698,Perdita scotti
CASTYPE14701,Perdita scutellaris
CASTYPE14702,Perdita sedulosa
CASTYPE14703,Perdita sejuncta
CASTYPE14704,Perdita semilutea
CASTYPE14705,Perdita seminigra
CASTYPE14706,Perdita sexfasciata
CASTYPE14707,Perdita sexnotata
CASTYPE14708,Perdita shinnersi
CASTYPE14709,Perdita similis
CASTYPE14710,Perdita sinaloana
CASTYPE14711,Perdita snellingi
CASTYPE14712,Perdita socia
CASTYPE14713,Perdita soluta
CASTYPE14714,Perdita speciosa
CASTYPE14715,Perdita sphaeralceae
CASTYPE14716,Perdita stagei
CASTYPE14717,Perdita stanleyae
CASTYPE14718,Perdita stathamae
CASTYPE14719,Perdita stenopyga
CASTYPE14720,Perdita stephanomeriae
CASTYPE14721,Perdita stigmalis
CASTYPE14722,Perdita suavis
CASTYPE14723,Perdita submaerens
CASTYPE14724,Perdita submedia
CASTYPE14725,Perdita subrufiventris
CASTYPE14726,Perdita subvestita
CASTYPE14727,Perdita sulphuripes
CASTYPE14728,Perdita tacita
CASTYPE14729,Perdita taeniata
CASTYPE14730,Perdita tessellata
CASTYPE14732,Perdita thelypodii
CASTYPE14733,Perdita thermophila
CASTYPE14734,Perdita thermophila
CASTYPE14735,Perdita torchioi
CASTYPE14736,Perdita toschiae
CASTYPE14737,Perdita translineata
CASTYPE14738,Perdita transversa
CASTYPE14740,Perdita trimaculata
CASTYPE14741,Perdita tristella
CASTYPE14742,Perdita tristissima
CASTYPE14743,Perdita tularensis
CASTYPE14744,Perdita tumida
CASTYPE14745,Perdita umbrata
CASTYPE14746,Perdita varleyi
CASTYPE14747,Perdita varleyi
CASTYPE14748,Perdita veris
CASTYPE14749,Perdita vesca
CASTYPE14750,Perdita vicina
CASTYPE14751,Perdita viridinotata
CASTYPE14752,Perdita vittata
CASTYPE14753,Perdita wasbaueri
CASTYPE14754,Perdita washingtoniae
CASTYPE14755,Perdita werneri
CASTYPE14756,Perdita wislizeniae
CASTYPE14757,Perdita xanthodes
CASTYPE14758,Perdita xanthops
CASTYPE14759,Perdita xerophila
CASTYPE14760,Perdita xerophila
CASTYPE14761,Perdita xerophila
CASTYPE14762,Perdita zebrata
CASTYPE14763,Perdita zonalis
CASTYPE14764,Perdita zonalis
CASTYPE14765,Perdita zonalis
CASTYPE14766,Protandrena amplipennis
CASTYPE14767,Protandrena boharti
CASTYPE14768,Protandrena durangoensis
CASTYPE14769,Protandrena eclepta
CASTYPE14770,Protandrena fasciata
CASTYPE14771,Protandrena hurdi
CASTYPE14772,Protandrena irwini
CASTYPE14773,Protandrena lateralis
CASTYPE14774,Protandrena maculata
CASTYPE14775,Protandrena nudescens
CASTYPE14776,Protandrena persimilis
CASTYPE14777,Protandrena protuberata
CASTYPE14778,Protandrena skinneri
CASTYPE14779,Protandrena sorocula
CASTYPE14780,Protandrena sphaeralceae
CASTYPE14781,Protandrena tessellata
CASTYPE14782,Protandrena texana
CASTYPE14783,Protandrena tidestromiae
CASTYPE14784,Protandrena unimaculata
CASTYPE14785,Protandrena xestops
CASTYPE14786,Psaenythia bicolor
CASTYPE14788,Psaenythia pectidis
CASTYPE14789,Psaenythia verbesinae
CASTYPE14790,Pseudopanurgus arizonicus
CASTYPE14791,Pseudopanurgus dawsoni
CASTYPE14792,Pseudopanurgus dicksoni
CASTYPE14793,Pseudopanurgus fasciatus
CASTYPE14794,Pseudopanurgus fulvicornis
CASTYPE14795,Pseudopanurgus fuscicornis
CASTYPE14796,Pseudopanurgus lateralis
CASTYPE14797,Pseudopanurgus occiduus
CASTYPE14798,Pseudopanurgus opacicollis
CASTYPE14799,Pseudopanurgus perarmatus
CASTYPE14800,Pseudopanurgus trifasciatus
CASTYPE14801,Pseudopanurgus tuberatus
CASTYPE14802,Pseudopanurgus verticalis
CASTYPE14803,Anthophora coptognatha
CASTYPE14804,Anthophora linsleyi
CASTYPE14805,Anthophora platti
CASTYPE14806,Centris californica
CASTYPE14807,Centris rhodomelas
CASTYPE14808,Diadasia angusticeps
CASTYPE14810,Diadasia consociata
CASTYPE14811,Diadasia lutzi deserticola
CASTYPE14812,Diadasia lutzi difficilis
CASTYPE14813,Diadasia martialis
CASTYPE14814,Diadasia palmarum
CASTYPE14815,Diadasia sphaeralcearum affinis
CASTYPE14816,Diadasia tuberculifrons
CASTYPE14817,Diadasia vallicola
CASTYPE14818,Diadasia vestita
CASTYPE14819,Exomalopsis aequalis
CASTYPE14820,Exomalopsis affabilis
CASTYPE14821,Exomalopsis albata
CASTYPE14822,Exomalopsis albovestita
CASTYPE14823,Exomalopsis arcuata
CASTYPE14824,Exomalopsis bechteli
CASTYPE14825,Exomalopsis boharti
CASTYPE14826,Exomalopsis brevicornis
CASTYPE14827,Exomalopsis cerei
CASTYPE14828,Exomalopsis comitanensis
CASTYPE14829,Exomalopsis consobrina
CASTYPE14830,Exomalopsis crassicornis
CASTYPE14831,Exomalopsis deserticola
CASTYPE14832,Exomalopsis digressa
CASTYPE14833,Exomalopsis eriogoni
CASTYPE14834,Exomalopsis euphorbiae
CASTYPE14835,Exomalopsis exilis
CASTYPE14836,Exomalopsis fulvihirta
CASTYPE14837,Exomalopsis gutierreziae
CASTYPE14838,Exomalopsis halli
CASTYPE14839,Exomalopsis hurdi
CASTYPE14840,Exomalopsis levigata
CASTYPE14841,Exomalopsis linsleyi
CASTYPE14842,Exomalopsis nigrihirta
CASTYPE14843,Exomalopsis oaxacana
CASTYPE14844,Exomalopsis palmarum
CASTYPE14845,Exomalopsis parva
CASTYPE14846,Exomalopsis punctatissima
CASTYPE14847,Exomalopsis robustula
CASTYPE14848,Exomalopsis rufiventris
CASTYPE14849,Exomalopsis scapalis
CASTYPE14850,Exomalopsis sonorensis
CASTYPE14851,Exomalopsis tricincta
CASTYPE14852,Exomalopsis tricinctula
CASTYPE14853,Exomalopsis varleyi
CASTYPE14854,Gnathopasites mojavensis
CASTYPE14855,Gnathopasites timberlakei
CASTYPE14856,Melissodes appressa
CASTYPE14859,Melissodes sonorensis
CASTYPE14860,Melissodes terminata
CASTYPE14861,Paranomada californica
CASTYPE14862,Paranomada velutina
CASTYPE14863,Protepeolus integer
CASTYPE14864,Synhalonia albescens
CASTYPE14865,Synhalonia amsinckiae
CASTYPE14866,Synhalonia angustifrons
CASTYPE14867,Synhalonia californica deserticola
CASTYPE14868,Synhalonia conditi
CASTYPE14869,Synhalonia delphinii
CASTYPE14870,Synhalonia dorsata
CASTYPE14871,Synhalonia hurdi
CASTYPE14872,Synhalonia ignota
CASTYPE14873,Synhalonia lunata
CASTYPE14874,Synhalonia mohavensis
CASTYPE14875,Synhalonia primiveris
CASTYPE14876,Synhalonia quadricincta
CASTYPE14877,Synhalonia tricinctella
CASTYPE14878,Synhalonia zonata
CASTYPE14881,Townsendiella rufiventris
CASTYPE14882,Triopasites timberlakei
CASTYPE14883,Colletes cercidii
CASTYPE14885,Colletes covilleae
CASTYPE14886,Colletes disseptus
CASTYPE14887,Colletes eriogoni
CASTYPE14888,Colletes hyalinus oregonensis
CASTYPE14889,Colletes larreae
CASTYPE14890,Colletes laticinctus
CASTYPE14891,Colletes linsleyi
CASTYPE14893,Colletes monticola pinorum
CASTYPE14894,Colletes nitescens
CASTYPE14895,Colletes paniscus mertensiae
CASTYPE14896,Colletes paniscus sculleni
CASTYPE14897,Colletes rudis
CASTYPE14898,Colletes sphaeralceae
CASTYPE14899,Colletes stepheni
CASTYPE14900,Colletes tectiventris
CASTYPE14901,Colletes turgiventris
CASTYPE14902,Colletes xerophilus
CASTYPE14904,Ptiloglossa arizonensis
CASTYPE14905,Ptiloglossa jonesi
CASTYPE14906,Conanthalictus caerulescens
CASTYPE14907,Conanthalictus cockerelli
CASTYPE14908,Conanthalictus deserticola
CASTYPE14909,Conanthalictus dicksoni
CASTYPE14910,Conanthalictus mentzeliae
CASTYPE14911,Conanthalictus minor
CASTYPE14912,Conanthalictus namatophilus
CASTYPE14913,Conanthalictus nigricans
CASTYPE14914,Dufourea brevicornis
CASTYPE14915,Dufourea calientensis
CASTYPE14916,Dufourea dammersi
CASTYPE14917,Dufourea desertorum
CASTYPE14918,Dufourea echinocacti
CASTYPE14919,Dufourea latifrons
CASTYPE14920,Dufourea leachi
CASTYPE14921,Dufourea linanthi
CASTYPE14922,Dufourea malacothricis
CASTYPE14923,Dufourea nudicornis
CASTYPE14924,Dufourea oenotherae
CASTYPE14925,Dufourea truncata
CASTYPE14926,Dufourea tularensis
CASTYPE14927,Dufourea vernalis
CASTYPE14928,Dufourea viridis
CASTYPE14929,Mimulapis versatilis rufiventris
CASTYPE14930,Protodufourea parca
CASTYPE14931,Protodufourea wasbaueri
CASTYPE14932,Sphecodes nigricans
CASTYPE14933,Anthocopa namatophila
CASTYPE14935,Ashmeadiella difugita
CASTYPE14936,Ashmeadiella foveata
CASTYPE14938,Ashmeadiella rufitarsis
CASTYPE14939,Ashmeadiella titusi
CASTYPE14940,Chelostoma minutum marginatum
CASTYPE14941,Dianthidium desertorum
CASTYPE14942,Dianthidium dubium
CASTYPE14943,Dianthidium dubium dilectum
CASTYPE14945,Dianthidium heterulkei
CASTYPE14946,Dianthidium implicatum
CASTYPE14947,Dianthidium parvum basingeri
CASTYPE14948,Dianthidium parvum schwarzi
CASTYPE14950,Dianthidium platyurum mohavense
CASTYPE14951,Dianthidium plenum
CASTYPE14952,Dianthidium plenum australe
CASTYPE14953,Dianthidium plenum williamsi
CASTYPE14954,Dianthidium ulkei riparii
CASTYPE14955,Dioxys productus cismontanicus
CASTYPE14956,Heriades micheneri
CASTYPE14957,Heriades timberlakei
CASTYPE14958,Heteranthidium subtimberlakei
CASTYPE14959,Heteranthidium timberlakei
CASTYPE14961,Hoplitis mojavensis
CASTYPE14963,Megachile subfortis
CASTYPE14964,Osmia albomarginata
CASTYPE14965,Osmia arefacta
CASTYPE14966,Osmia enceliae
CASTYPE14967,Osmia hemizoniae
CASTYPE14968,Osmia palmarum
CASTYPE14969,Osmia phaceliarum
CASTYPE1496,Hylaeus sonorensis
CASTYPE14970,Osmia robustula
CASTYPE14971,Osmia rupestris
CASTYPE14972,Osmia shastensis
CASTYPE14973,Osmia timberlakei
CASTYPE14974,Osmia triodonta
CASTYPE14975,Osmia viguierae
CASTYPE14977,Osmia xerophila
CASTYPE14978,Proteriades basingeri
CASTYPE14979,Proteriades cryptanthae
CASTYPE14980,Proteriades deserticola
CASTYPE14982,Proteriades nigra
CASTYPE14984,Proteriades pygmaea
CASTYPE14985,Proteriades reducta
CASTYPE1498,Colletes albocinctus
CASTYPE1499,Colletes mulegensis
