CASTYPE15657	Megachile sidalceae	SAME_AS	ITIS:762209	Megachile sidalceae		species		Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Megachilidae | Megachilinae | Megachilini | Megachile | Megachile sidalceae	ITIS:202423 | ITIS:914154 | ITIS:914155 | ITIS:914158 | ITIS:82696 | ITIS:563886 | ITIS:99208 | ITIS:100500 | ITIS:563890 | ITIS:914213 | ITIS:152741 | ITIS:152864 | ITIS:709253 | ITIS:154344 | ITIS:154365 | ITIS:633926 | ITIS:633962 | ITIS:154366 | ITIS:762209	kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species		http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=762209
CASTYPE15657	Megachile sidalceae	SAME_AS	doi:10.11646/zootaxa.4524.3.1	doi:10.11646/zootaxa.4524.3.1				doi:10.11646/zootaxa.4524.3.1				https://doi.org/10.11646/zootaxa.4524.3.1
CASTYPE15657	Megachile sidalceae	SAME_AS	doi:10.3897/BDJ.4.e8050	doi:10.3897/BDJ.4.e8050				doi:10.3897/BDJ.4.e8050				https://doi.org/10.3897/BDJ.4.e8050
CASTYPE15657	Megachile sidalceae	SAME_AS	GBIF:1335011	Megachile		genus		Animalia | Arthropoda | Insecta | Hymenoptera | Megachilidae | Megachile	GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:7911 | GBIF:1335011	kingdom | phylum | class | order | family | genus		http://eol.org/pages/104071
CASTYPE15657	Megachile sidalceae	SAME_AS	GBIF:7890855	Megachile		genus		Animalia | Arthropoda | Insecta | Hymenoptera | Megachilidae | Megachile	GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:7911 | GBIF:7890855	kingdom | phylum | class | order | family | genus		http://eol.org/pages/104071
CASTYPE15657	Megachile sidalceae	SAME_AS	GBIF:8447673	Megachile		genus		Animalia | Arthropoda | Insecta | Hymenoptera | Megachilidae | Megachile	GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:7911 | GBIF:8447673	kingdom | phylum | class | order | family | genus		http://eol.org/pages/104071
CASTYPE15657	Megachile sidalceae	SAME_AS	http://taxon-concept.plazi.org/id/Animalia/Megachile_Latreille_1802	Megachile				Animalia | Arthropoda | Insecta | Hymenoptera | Megachilidae | Megachile		kingdom | phylum | class | order | family | genus		http://taxon-concept.plazi.org/id/Animalia/Megachile_Latreille_1802
CASTYPE15657	Megachile sidalceae	SAME_AS	http://taxon-concept.plazi.org/id/Animalia/Megachile_(Michener_2007	Megachile				Animalia | Arthropoda | Insecta | Hymenoptera | Megachilidae | Megachile		kingdom | phylum | class | order | family | genus		http://taxon-concept.plazi.org/id/Animalia/Megachile_(Michener_2007
CASTYPE15657	Megachile sidalceae	SAME_AS	http://treatment.plazi.org/id/481E7707FFC14E09FF5AFC42FC74FADE	http://treatment.plazi.org/id/481E7707FFC14E09FF5AFC42FC74FADE				http://treatment.plazi.org/id/481E7707FFC14E09FF5AFC42FC74FADE				http://treatment.plazi.org/id/481E7707FFC14E09FF5AFC42FC74FADE
CASTYPE15657	Megachile sidalceae	SAME_AS	http://treatment.plazi.org/id/BD71A1BB0836F74535DBEE8F3DEC78D5	http://treatment.plazi.org/id/BD71A1BB0836F74535DBEE8F3DEC78D5				http://treatment.plazi.org/id/BD71A1BB0836F74535DBEE8F3DEC78D5				http://treatment.plazi.org/id/BD71A1BB0836F74535DBEE8F3DEC78D5
CASTYPE15657	Megachile sidalceae	SAME_AS	http://treatment.plazi.org/id/C72136B726E5580342B37994B63EAA2E	http://treatment.plazi.org/id/C72136B726E5580342B37994B63EAA2E				http://treatment.plazi.org/id/C72136B726E5580342B37994B63EAA2E				http://treatment.plazi.org/id/C72136B726E5580342B37994B63EAA2E
